symbol,coin_name,price_timestamp,open_usd,high_usd,low_usd,close_usd,open_ngn,high_ngn,low_ngn,close_ngn,volume_crypto,usd_ngn_rate
BNBUSDT,BNB,2025-09-30 13:00:00,1008.48,1013.68,1005.57,1008.25,1496458.961851656,1504175.115470596,1492140.8835764416,1496117.6704415875,11110.46,1483.87569595
BNBUSDT,BNB,2025-09-30 15:00:00,1005.57,1005.61,992.93,998.19,1492140.8835764416,1492200.2386042795,1473384.6947796333,1481189.8809403304,19173.338,1483.87569595
BNBUSDT,BNB,2025-10-02 12:00:00,1047.81,1063.45,1047.23,1060.05,1555754.005553336,1578975.7658408445,1554892.8405298863,1573927.5570826905,33802.361,1484.76728181
BNBUSDT,BNB,2025-10-02 19:00:00,1068.0,1076.71,1066.9,1073.81,1585731.45697308,1598663.7799976452,1584098.212963089,1594357.954880396,12808.095,1484.76728181
BNBUSDT,BNB,2025-10-03 06:00:00,1094.22,1099.71,1090.0,1091.8,1613471.207656923,1621566.4325020516,1607248.6486685001,1609902.82074887,23304.727,1474.54004465
BNBUSDT,BNB,2025-10-03 13:00:00,1106.97,1147.02,1102.48,1137.52,1632271.5932262107,1691326.922014443,1625650.908425732,1677318.791590268,79791.6344,1474.54004465
BNBUSDT,BNB,2025-10-03 14:00:00,1137.51,1143.0,1119.04,1142.01,1677304.0461898216,1685399.27103495,1650069.291565136,1683939.4763907464,40547.319,1474.54004465
BNBUSDT,BNB,2025-10-03 15:00:00,1142.0,1168.0,1136.47,1165.3,1683924.7309903,1722262.7721512,1675770.5245433855,1718281.514030645,70490.8199,1474.54004465
BNBUSDT,BNB,2025-10-03 17:00:00,1155.77,1155.77,1120.1,1136.05,1704229.1474051306,1704229.1474051306,1651632.3040124648,1675151.2177246325,60696.577,1474.54004465
BNBUSDT,BNB,2025-10-04 05:00:00,1174.05,1182.39,1173.43,1176.66,1722336.4404812113,1734571.2566420338,1721426.8977929968,1726165.3217977278,13849.025,1467.00433583
BNBUSDT,BNB,2025-10-04 13:00:00,1144.02,1150.94,1143.06,1146.99,1678282.3002762366,1688433.9702801802,1676873.9761138398,1682639.3031536518,15463.989,1467.00433583
BNBUSDT,BNB,2025-10-05 10:00:00,1161.49,1164.72,1153.84,1162.8,1702624.1458555472,1707358.9916063615,1691410.037498355,1704544.4702931838,20958.016,1465.89651728
BNBUSDT,BNB,2025-10-06 01:00:00,1167.98,1183.99,1166.35,1179.1,1713546.8980982131,1737035.2162531065,1711155.5202973087,1729861.0828503938,23106.028,1467.10294534
BNBUSDT,BNB,2025-10-06 16:00:00,1221.49,1226.29,1213.91,1222.35,1792051.5767033566,1799093.6708409884,1780930.9363776795,1793313.2852363489,19837.361,1467.10294534
BNBUSDT,BNB,2025-10-08 12:00:00,1313.37,1319.46,1303.53,1305.56,1928200.5350448848,1937141.4589722042,1913754.116088428,1916734.424064201,26304.668,1468.13200777
BNBUSDT,BNB,2025-10-08 17:00:00,1302.89,1314.01,1300.55,1313.57,1912814.5116034555,1929140.1395298576,1909379.0827052733,1928494.1614464389,25890.756,1468.13200777
BNBUSDT,BNB,2025-10-08 18:00:00,1313.58,1322.79,1311.76,1318.37,1928508.8427665164,1942030.3385580783,1925836.8425123752,1935541.1950837348,27767.468,1468.13200777
BNBUSDT,BNB,2025-10-10 00:00:00,1255.35,1269.19,1254.64,1257.58,1854029.5259832628,1874469.8562812742,1852980.9252237552,1857323.018509604,21524.015,1476.90247818
BNBUSDT,BNB,2025-10-10 19:00:00,1222.22,1247.04,1210.06,1235.58,1805099.7468811595,1841756.466389587,1787140.6127464906,1824831.1639896443,53838.627,1476.90247818
BNBUSDT,BNB,2025-10-11 12:00:00,1129.78,1131.0,1118.4,1124.87,1655260.3014538605,1657047.74464437,1638587.265791568,1648066.5751707447,24565.736,1465.11736927
BNBUSDT,BNB,2025-10-12 09:00:00,1178.25,1222.12,1166.78,1218.84,1725303.8011166626,1789542.3563935459,1708508.354820199,1784739.473756022,74639.637,1464.29348705
BNBUSDT,BNB,2025-10-13 05:00:00,1292.51,1301.4,1289.94,1297.87,1891472.5790509228,1904482.2975271922,1887711.6143170632,1899316.4588071434,22298.208,1463.41040228
BNBUSDT,BNB,2025-10-15 19:00:00,1171.6,1171.77,1162.87,1164.3,1706840.7161915998,1707088.38000327,1694122.45103937,1696205.7407493,7888.888,1456.845951
BNBUSDT,BNB,2025-10-16 12:00:00,1181.68,1189.0,1177.27,1186.57,1729829.0845614313,1740544.63267851,1723373.4059826992,1736987.4220330862,20400.651,1463.87269359
BNBUSDT,BNB,2025-10-16 13:00:00,1186.56,1191.27,1180.95,1181.65,1736972.7833061502,1743867.623692959,1728760.4574951106,1729785.1683806235,21283.258,1463.87269359
BNBUSDT,BNB,2025-10-17 01:00:00,1149.9,1156.3,1143.37,1146.51,1681990.119153771,1691351.5738564269,1672438.5099024673,1677031.473615958,16025.27,1462.72729729
BNBUSDT,BNB,2025-10-17 04:00:00,1150.54,1154.09,1143.72,1144.02,1682926.2646240366,1688118.946529416,1672950.4644565189,1673389.2826457059,9174.962,1462.72729729
BNBUSDT,BNB,2025-10-17 08:00:00,1062.68,1063.37,1021.0,1043.41,1554411.0442841374,1555420.3261192671,1493444.57053309,1526224.289265359,202562.446,1462.72729729
BNBUSDT,BNB,2025-10-19 09:00:00,1076.46,1097.05,1068.04,1091.86,1587925.740190251,1618298.8065285424,1575505.088487074,1610642.846630741,50098.346,1475.13678185
BNBUSDT,BNB,2025-10-19 22:00:00,1115.99,1121.82,1115.99,1119.05,1646237.8971767814,1654837.9446149669,1646237.8971767814,1650751.8157292425,7234.446,1475.13678185
